file,title_ca,description_ca,title_es,description_es,title_en,description_en
home/1.jpg,Organització i gestió d'esdeveniments,Generem Valor,Organización y gestión de eventos,Generamos Valor,Event Management,Generate Value
home/3.jpg,Viatges d’incentiu i esdeveniments,Barcelona i Lisboa,Viajes de incentivo y eventos,Barcelona y Lisboa,Management destinations and events,Barcelona and Lisbon
home/4.jpg,Activitats per a empreses,Construïm Equip,Actividades para empresas,Construímos Equipo,Team Building,Teamwork
