photo,name,skills_ca,skills_es,skills_en,description_ca,description_es,description_en
employees/paula.jpg,Paula Bao ,Director Executiu i Fundador,Director Ejecutivo y Fundador,CEO & Founder,Especialista en el disseny i la producció d'esdeveniments corporatius internacionals i viatges d'incentiu. Cap de Recursos Humans i responsable de les actuacions de control financer de la companyia.,Especialista en el diseño y la producción de eventos corporativos internacionales y viajes de incentivo. Jefe de de Recursos Humanos y responsable de las actuaciones de control financiero de la compañía.,Owner and Managing Director. Paula is a talented and creative event producer of international corporate event and destination managment. Head of HR department and is responsible of the financial control activities of the company.
employees/gemma.jpg,Gemma Oliveras,Director Executiu i Fundador,Director Ejecutivo y Fundador,CEO & Founder,"Experta en organització d'esdeveniments, incentius i reunions d'empresa arreu d'Espanya. És responsable del departament de Social Media i especialista en Relacions Públiques.","Experta en organización de eventos, incentivos y reuniones de empresa en toda España. Responsable del departamento de Social Media y especialista en Relaciones Públicas.","Owner and Managing Director. Gemma has a experience in Organising Events, Incentives and Corporate Meetings across Spain. Is the responsible of Social Media department and Public Relations Specialist."
employees/jaime.jpg,Jaime Viegas,Director a Portugal,Director en Portugal,Portugal Director,"La seva trajectòria professional inclou diversos llocs de vendes, organització de viatges, gestió de projectes i esdeveniments, màrqueting i comunicacions.","Su trayectoria profesional incluye varios puestos de ventas, organización de viajes, gestión de proyectos y eventos, marketing  y comunicaciones.","His professional track includes several sales positions, tour operation, events project management, aviation marketing and communications."
employees/sybille.jpg,Sybille Halbritter,Gerent d'Operacions a Portugal,Gerente de Operaciones en Portugal,Portugal Operations Manager,"Cap de la coordinació i les operacions de l'empresa. Exigeix un servei d'alta qualitat als nostres proveïdors, i coneix a la perfecció Portugal.","Jefa de la coordinación y las operaciones de la empresa. Exige un servicio de alta calidad a nuestros proveedores, y conoce como la palma de su mano Portugal.","Coordination and operations of the company. She demands high quality service to our suppliers, and knows Portugal like the back of her hand."
