title_en,description_en,title_es,description_es,title_ca,description_ca,album,date
Special Wedding,The better way to commemorate a wedding,Una boda con encanto,La mejor manera de celebrar una boda,Un casament amb en encant,La millor manera de celebrar un casament,special-wedding,19/09/2013
Hipster Party,A nice surprise with a Hipster birthday party,Cumpleaños Hipster,Fiesta sorpresa de cumpleaños con estilo Hipster,Aniversari Hipster,Una festa sorpresa d'aniversari amb estil Hipster,hipster-party,24/02/2014
Team building activity,A cooking experience for groups,Actividades de Team building,Una experiencia de cocina para grupos,Activitats de team building,Una experiència de cuina per grups,team-building,18/12/2013
Private tours,Tour to Barcelona tourist attractions,Visitas turísticas,Visita los puntos más destacados de Barcelona,Visites turístiques,Visita pels punts més destacats de Barcelona,private-tours,13/05/2014
Make up party,Bachelor party photo shoot & brunch,Make up party,"Despedida de soltera, sesión de fotos y brunch",Make up party,"Comiat de soltera, sessió de fotografies i brunch",make-up-party,12/09/2014
Wedding in Barcelona,Special moment,Una boda en Barcelona,Un momento especial,Un casament a Barcelona,Un moment especial,wedding-in-barcelona,12/07/2014
